symbol,trade_id,alert_date,level,level_type,dist_pct,alert_price,alert_vol,strike,expiry_date,days_to_expiry,straddle_cost,exit_date,exit_sv,exit_pnl,exit_pnl_pct,exit_reason,days_held,scale_factor,scaled_cost,scaled_exit,scaled_pnl
PETR4.SA,66,2025-09-24,32.855,resistance,0.72,32.62,0.0101,32.62,2025-10-17,23,0.17,2025-09-26,0.22,0.05,33.18,20% target,2,5882.35294117647,1000,1294.1176470588234,294.1176470588234
PETR4.SA,67,2025-10-02,30.85,support,0.74,31.08,0.0112,31.08,2025-11-21,50,0.34,2025-10-09,0.58,0.24,70.6,20% target,7,2941.176470588235,1000,1705.8823529411764,705.8823529411764
PETR4.SA,68,2025-10-10,29.7,support,0.802,29.94,0.0104,29.94,2025-11-21,42,0.27,2025-10-13,0.54,0.27,98.38,20% target,3,3703.7037037037035,1000,2000,1000
PETR4.SA,69,2025-10-30,29.485,support,1.355,29.89,0.0082,29.89,2025-11-21,22,0.14,2025-11-03,0.51,0.37,253.79,20% target,4,7142.857142857142,1000,3642.8571428571427,2642.8571428571427
PETR4.SA,70,2025-11-03,29.74,support,1.196,30.1,0.0086,30.1,2025-12-19,46,0.3,2025-11-04,0.45,0.14,47.5,20% target,1,3333.3333333333335,1000,1500,500
PETR4.SA,71,2025-11-05,30.85,resistance,0,30.85,0.0097,30.85,2025-12-19,44,0.3,2025-11-06,0.45,0.15,51.71,20% target,1,3333.3333333333335,1000,1500,500
PETR4.SA,72,2025-11-10,32.8,resistance,1.36,32.36,0.0117,32.36,2025-12-19,39,0.28,2025-11-11,1.11,0.83,300.84,20% target,1,3571.428571428571,1000,3964.285714285714,2964.285714285714
PETR4.SA,73,2025-12-04,32.94,resistance,1.292,32.52,0.0134,32.52,2026-01-16,43,0.31,2025-12-05,0.85,0.54,177.29,20% target,1,3225.8064516129034,1000,2741.935483870968,1741.9354838709678
PETR4.SA,74,2025-12-16,30.85,resistance,0.358,30.74,0.0129,30.74,2026-01-16,31,0.21,2025-12-17,0.54,0.33,156.12,20% target,1,4761.904761904762,1000,2571.428571428572,1571.428571428572
PETR4.SA,75,2026-01-06,29.525,support,0.388,29.64,0.0145,29.64,2026-02-20,45,0.29,2026-01-07,0.47,0.18,61.47,20% target,1,3448.2758620689656,1000,1620.6896551724137,620.6896551724137
PETR4.SA,76,2026-01-08,30.6,resistance,1.325,30.2,0.0128,30.2,2026-02-20,43,0.28,2026-01-09,0.38,0.09,32.31,20% target,1,3571.428571428571,1000,1357.142857142857,357.1428571428571
PETR4.SA,77,2026-02-11,38.58,resistance,1.313,38.08,0.0156,38.08,2026-03-20,37,0.32,2026-02-12,0.67,0.36,112.44,20% target,1,3125,1000,2093.75,1093.75
PETR4.SA,78,2026-02-23,38.58,support,0.026,38.59,0.0165,38.59,2026-03-20,25,0.23,2026-02-24,1.18,0.96,421.03,20% target,1,4347.826086956522,1000,5130.434782608696,4130.434782608696
